offense_id,incident_id,attempt_complete_flag,location_id,agency_id,incident_date,incident_hour,cleared_except_id,cleared_except_date,,incident_id,offender_id,age,sex_code,Offense- Offense ID,Offense-Incident ID,Offense- Offense Type ID,Offense-Location ID
90771874,83148757,C,20,20065,1/2/2016 0:00,16,6,,,83148757,93712567,47,M,90771874,83148757,56,20
90773323,83149163,C,20,20065,1/5/2016 0:00,21,6,,,83149163,93713103,,M,90773323,83149163,56,20
,,,,,,,,,,83149163,93713104,,M,90773323,83149163,56,20
90772673,83149588,C,13,20065,1/4/2016 0:00,15,6,,,83149588,93712793,30,M,90772673,83149588,56,13
90772862,83149747,C,20,20065,1/6/2016 0:00,10,6,,,83149747,93714061,42,M,90772862,83149747,56,20
90773747,83150532,C,13,20065,1/8/2016 0:00,10,6,,,83150532,93713382,,M,90773747,83150532,56,13
90776040,83151893,C,24,20135,1/15/2016 0:00,12,6,,,83151893,93715857,34,M,90776040,83151893,56,24
90779240,83153896,A,20,20129,1/5/2016 0:00,0,6,,,83153896,93719225,29,M,90779240,83153896,56,20
90780812,83156893,C,11,20196,1/19/2016 0:00,8,6,,,83156893,93721734,71,M,90780812,83156893,56,11
90783187,83158220,C,4,20194,1/1/2016 0:00,19,2,1/14/2016 0:00,,83158220,93723637,19,M,90783187,83158220,56,4
90783903,83159225,C,18,20212,1/20/2016 0:00,22,6,,,83159225,93725388,20,M,90783903,83159225,56,18
90786393,83160608,C,20,20129,1/19/2016 0:00,13,6,,,83160608,93726454,,,90786393,83160608,56,20
90785998,83161165,C,20,20237,1/11/2016 0:00,0,6,,,83161165,93728179,,,90785998,83161165,56,20
90785942,83162189,C,20,20105,1/5/2016 0:00,11,6,,,83162189,93728130,,M,90785942,83162189,56,20
90787705,83162763,C,41,20105,1/6/2016 0:00,14,6,,,83162763,93728779,13,M,90787705,83162763,56,41
90787749,83163673,C,20,20211,1/2/2016 0:00,18,6,,,83163673,93728829,69,M,90787749,83163673,56,20
90790071,83164943,C,20,20260,1/17/2016 0:00,0,6,,,83164943,93732196,26,M,90790071,83164943,56,20
90791395,83165216,C,20,20276,1/23/2016 0:00,0,6,,,83165216,93732532,48,M,90791395,83165216,56,20
90790942,83165873,C,20,20105,1/9/2016 0:00,0,6,,,83165873,93731461,19,M,90790942,83165873,56,20
90790995,83165918,C,20,20211,1/14/2016 0:00,19,6,,,83165918,93731514,43,M,90790995,83165918,56,20
90793844,83168296,C,20,20271,1/7/2016 0:00,14,2,1/31/2016 0:00,,83168296,93735011,15,M,90793844,83168296,56,20
,,,,,,,,,,83168296,93735173,40,M,90793844,83168296,56,20
90793984,83168401,C,20,20271,1/24/2016 0:00,1,6,,,83168401,93735294,24,M,90793984,83168401,56,20
90794027,83168715,C,20,20271,1/27/2016 0:00,16,6,,,83168715,93735327,44,M,90794027,83168715,56,20
90796130,83169733,C,20,20287,1/13/2016 0:00,13,6,,,83169733,93735670,,U,90796130,83169733,56,20
90795910,83170208,C,20,20297,1/20/2016 0:00,11,6,,,83170208,93737187,,,90795910,83170208,56,20
90797817,83171245,C,20,20324,1/15/2016 0:00,,4,1/19/2016 0:00,,83171245,93739065,18,M,90797817,83171245,56,20
90801134,83173419,C,20,20336,1/5/2016 0:00,14,6,,,83173419,93741394,56,M,90801134,83173419,56,20
90800091,83174020,C,24,20336,1/1/2016 0:00,15,6,,,83174020,93741356,49,M,90800091,83174020,56,24
90800973,83174285,C,41,20336,1/21/2016 0:00,14,6,,,83174285,93741718,10,M,90800973,83174285,56,41
90801326,83174570,C,20,20340,1/10/2016 0:00,23,6,,,83174570,93741609,,,90801326,83174570,56,20
90804008,83177011,C,20,20343,1/8/2016 0:00,8,6,,,83177011,93745312,,M,90804008,83177011,56,20
90806241,83178283,C,15,20378,1/23/2016 0:00,16,4,1/26/2016 0:00,,83178283,93747475,47,M,90806241,83178283,56,15
90809624,83181239,C,20,20391,1/29/2016 0:00,,6,,,83181239,93750035,,,90809624,83181239,56,20
90810655,83182355,C,20,20356,1/7/2016 0:00,2,6,,,83182355,93751633,16,M,90810655,83182355,56,20
90809984,83182552,C,25,20373,1/27/2016 0:00,10,6,,,83182552,93751400,,,90809984,83182552,56,25
90810896,83183540,C,41,20356,1/7/2016 0:00,7,6,,,83183540,93752545,17,M,90810896,83183540,56,41
90812043,83184110,C,20,20356,1/1/2016 0:00,12,6,,,83184110,93754170,24,M,90812043,83184110,56,20
90815050,83186419,C,20,20408,1/3/2016 0:00,8,6,,,83186419,93756746,54,M,90815050,83186419,56,20
90816324,83187646,C,20,20406,1/8/2016 0:00,12,6,,,83187646,93757036,45,M,90816324,83187646,56,20
90816003,83187995,C,20,20406,1/7/2016 0:00,17,6,,,83187995,93758477,19,M,90816003,83187995,56,20
90816847,83188087,C,3,20289,1/3/2016 0:00,18,2,1/12/2016 0:00,,83188087,93758573,34,M,90816847,83188087,56,3
90816929,83188152,C,20,20408,1/6/2016 0:00,11,6,,,83188152,93758661,39,M,90816929,83188152,56,20
90818143,83188347,C,40,20417,1/6/2016 0:00,11,6,,,83188347,93757839,16,M,90818143,83188347,56,40
90824153,83193182,C,20,20424,1/18/2016 0:00,23,6,,,83193182,93764691,34,M,90824153,83193182,56,20
90825409,83195031,C,20,20408,1/22/2016 0:00,11,6,,,83195031,93767222,16,M,90825409,83195031,56,20
90826188,83195066,C,40,20408,1/15/2016 0:00,15,6,,,83195066,93766723,13,M,90826188,83195066,56,40
90828234,83197098,A,41,20408,1/28/2016 0:00,14,6,,,83197098,93768798,3,F,90828234,83197098,56,41
90827942,83197325,C,25,20437,1/1/2016 0:00,0,6,,,83197325,93769730,,U,90827942,83197325,56,25
90827516,83197629,C,7,20437,1/9/2016 0:00,14,6,,,83197629,93769352,51,M,90827516,83197629,56,7
90828329,83197849,C,20,20408,1/28/2016 0:00,19,6,,,83197849,93768902,50,M,90828329,83197849,56,20
90829254,83198139,C,20,20453,1/9/2016 0:00,15,6,,,83198139,93770045,19,M,90829254,83198139,56,20
90829281,83198165,C,20,20437,1/19/2016 0:00,14,6,,,83198165,93771068,19,M,90829281,83198165,56,20
90830058,83199270,C,20,20458,1/15/2016 0:00,11,4,1/15/2016 0:00,,83199270,93771845,22,M,90830058,83199270,56,20
90833721,83201905,C,20,20469,1/7/2016 0:00,8,6,,,83201905,93774442,20,M,90833721,83201905,56,20
90841922,83210705,C,20,20466,1/12/2016 0:00,15,6,,,83210705,93783566,37,M,90841922,83210705,56,20
90846293,83212371,C,13,20445,1/6/2016 0:00,1,6,,,83212371,93788101,42,M,90846293,83212371,56,13
,,,,,,,,,,83212371,93787235,42,M,90846293,83212371,56,13
90846297,83212375,C,46,20482,1/3/2016 0:00,6,6,,,83212375,93788106,,,90846297,83212375,56,46
90844037,83212727,C,38,20477,1/24/2016 0:00,15,6,,,83212727,93785734,18,M,90844037,83212727,56,38
90848409,83214329,C,20,20445,1/9/2016 0:00,12,6,,,83214329,93790099,58,M,90848409,83214329,56,20
90849313,83216152,C,41,20445,1/14/2016 0:00,11,6,,,83216152,93791103,,,90849313,83216152,56,41
90858131,83223448,C,20,20460,1/30/2016 0:00,3,6,,,83223448,93798910,,,90858131,83223448,56,20
90860408,83226599,C,20,20475,1/7/2016 0:00,17,6,,,83226599,93802223,69,M,90860408,83226599,56,20
91255436,83567642,C,20,20042,2/21/2016 0:00,12,6,,,83567642,94199011,,M,91255436,83567642,56,20
91257287,83568364,C,20,20051,1/14/2016 0:00,10,6,,,83568364,94201900,47,M,91257287,83568364,56,20
91256788,83569534,C,25,20091,1/28/2016 0:00,17,6,,,83569534,94203086,13,M,91256788,83569534,56,25
91258915,83570925,C,13,20065,2/6/2016 0:00,15,6,,,83570925,94205250,22,M,91258915,83570925,56,13
91261333,83571318,C,12,20118,1/28/2016 0:00,17,6,,,83571318,94206059,39,M,91261333,83571318,56,12
91261907,83572225,C,14,20065,2/20/2016 0:00,0,6,,,83572225,94206679,17,M,91261907,83572225,56,14
91263818,83574331,C,20,20137,1/10/2016 0:00,0,4,1/31/2016 0:00,,83574331,94209201,49,M,91263818,83574331,56,20
91263096,83574849,C,20,20137,2/4/2016 0:00,15,6,,,83574849,94208947,42,M,91263096,83574849,56,20
91266186,83576805,C,20,20168,1/17/2016 0:00,14,6,,,83576805,94211108,11,M,91266186,83576805,56,20
91265787,83576937,C,14,20148,2/8/2016 0:00,15,6,,,83576937,94212213,,,91265787,83576937,56,14
91265813,83576975,C,20,20168,2/25/2016 0:00,11,6,,,83576975,94211220,16,M,91265813,83576975,56,20
91266441,83577032,C,20,20148,2/10/2016 0:00,18,6,,,83577032,94212315,24,M,91266441,83577032,56,20
91268960,83579373,C,20,20105,1/27/2016 0:00,9,4,2/1/2016 0:00,,83579373,94213912,8,F,91268960,83579373,56,20
91269736,83580314,C,20,20194,2/1/2016 0:00,17,6,,,83580314,94215999,57,M,91269736,83580314,56,20
91269760,83580354,C,20,20200,2/19/2016 0:00,17,6,,,83580354,94216041,16,M,91269760,83580354,56,20
91269782,83580392,C,20,20194,1/15/2016 0:00,8,2,2/4/2016 0:00,,83580392,94216222,13,M,91269782,83580392,56,20
91272083,83582251,C,41,20105,2/8/2016 0:00,10,6,,,83582251,94218072,15,M,91272083,83582251,56,41
91273876,83582810,C,20,20105,2/8/2016 0:00,0,6,,,83582810,94219151,,M,91273876,83582810,56,20
91274626,83583205,C,20,20232,1/27/2016 0:00,13,6,,,83583205,94220707,39,M,91274626,83583205,56,20
91273397,83583532,C,13,20216,2/1/2016 0:00,16,2,2/8/2016 0:00,,83583532,94218404,37,M,91273397,83583532,56,13
91273432,83583560,C,20,20216,2/8/2016 0:00,14,6,,,83583560,94218440,47,M,91273432,83583560,56,20
91273598,83583689,C,20,20216,2/13/2016 0:00,18,6,,,83583689,94217016,46,M,91273598,83583689,56,20
91274020,83584052,C,20,20129,1/1/2016 0:00,23,6,,,83584052,94220051,,M,91274020,83584052,56,20
,,,,,,,,,,83584052,94220053,,M,91274020,83584052,56,20
91274027,83584059,C,41,20212,2/12/2016 0:00,12,6,,,83584059,94220059,14,M,91274027,83584059,56,41
91274083,83584098,C,13,20105,2/11/2016 0:00,22,4,2/14/2016 0:00,,83584098,94220113,51,M,91274083,83584098,56,13
91273057,83584486,C,20,20177,2/1/2016 0:00,21,2,2/29/2016 0:00,,83584486,94220626,34,F,91273057,83584486,56,20
91276336,83585187,C,5,20105,1/28/2016 0:00,0,6,,,83585187,94221495,18,M,91276336,83585187,56,5
91276644,83585463,C,46,20238,2/9/2016 0:00,21,6,,,83585463,94221835,,F,91276644,83585463,56,46
91276195,83585518,C,46,20211,2/1/2016 0:00,22,6,,,83585518,94221335,,,91276195,83585518,56,46
91276478,83585656,A,20,20238,1/24/2016 0:00,1,6,,,83585656,94221648,23,M,91276478,83585656,56,20
91276534,83585689,C,20,20237,2/12/2016 0:00,14,6,,,83585689,94221715,53,M,91276534,83585689,56,20
91275722,83585784,C,20,20238,2/10/2016 0:00,5,6,,,83585784,94222192,42,M,91275722,83585784,56,20
91275754,83585819,C,25,20239,2/15/2016 0:00,8,6,,,83585819,94221918,,,91275754,83585819,56,25
91275861,83585920,C,20,20238,2/20/2016 0:00,20,6,,,83585920,94223079,,M,91275861,83585920,56,20
91277506,83586318,C,20,20211,2/17/2016 0:00,10,6,,,83586318,94222805,33,M,91277506,83586318,56,20
91276728,83586537,C,41,20237,2/24/2016 0:00,8,6,,,83586537,94221934,,,91276728,83586537,56,41
91276741,83586553,C,41,20105,2/5/2016 0:00,11,6,,,83586553,94222242,,U,91276741,83586553,56,41
91275925,83586745,C,20,20211,2/9/2016 0:00,10,6,,,83586745,94223173,49,M,91275925,83586745,56,20
91280189,83588354,C,41,20269,2/25/2016 0:00,16,6,,,83588354,94226074,14,M,91280189,83588354,56,41
91279893,83588502,C,41,20129,2/17/2016 0:00,14,6,,,83588502,94226239,,,91279893,83588502,56,41
91280135,83589074,C,40,20269,2/4/2016 0:00,8,5,2/4/2016 0:00,,83589074,94225004,17,M,91280135,83589074,56,40
91281249,83589432,C,20,20271,2/5/2016 0:00,15,6,,,83589432,94226623,16,M,91281249,83589432,56,20
91281319,83589482,C,20,20271,2/9/2016 0:00,20,6,,,83589482,94226701,41,M,91281319,83589482,56,20
91281171,83589758,C,20,20271,1/28/2016 0:00,4,6,,,83589758,94227047,17,M,91281171,83589758,56,20
91281274,83589851,C,20,20271,2/6/2016 0:00,15,6,,,83589851,94226653,52,M,91281274,83589851,56,20
91280694,83590048,C,20,20271,2/19/2016 0:00,21,6,,,83590048,94226904,18,M,91280694,83590048,56,20
91280634,83590548,C,20,20271,2/14/2016 0:00,14,6,,,83590548,94227201,,F,91280634,83590548,56,20
91283325,83591796,C,20,20287,1/23/2016 0:00,23,6,,,83591796,94228759,,,91283325,83591796,56,20
91284995,83594241,C,15,20309,1/1/2016 0:00,21,2,2/17/2016 0:00,,83594241,94232170,25,M,91284995,83594241,56,15
,,,,,,,,,,83594241,94232169,20,M,91284995,83594241,56,15
91286115,83594344,C,41,20309,2/9/2016 0:00,14,2,2/12/2016 0:00,,83594344,94231647,13,M,91286115,83594344,56,41
91286331,83594561,C,41,20309,2/18/2016 0:00,14,2,2/19/2016 0:00,,83594561,94232448,17,F,91286331,83594561,56,41
91286019,83594692,C,20,20318,2/26/2016 0:00,16,6,,,83594692,94232601,,,91286019,83594692,56,20
91288583,83595394,C,20,20354,2/3/2016 0:00,10,6,,,83595394,94235189,20,M,91288583,83595394,56,20
91286846,83595996,C,20,20332,2/20/2016 0:00,,6,,,83595996,94233428,27,F,91286846,83595996,56,20
91286861,83596012,C,20,20327,2/15/2016 0:00,,6,,,83596012,94233446,64,M,91286861,83596012,56,20
91288647,83596746,C,13,20354,2/3/2016 0:00,21,6,,,83596746,94234436,44,M,91288647,83596746,56,13
91288007,83596972,C,20,20354,2/8/2016 0:00,21,6,,,83596972,94234600,31,M,91288007,83596972,56,20
91288071,83597610,C,20,20354,2/11/2016 0:00,10,6,,,83597610,94234665,21,M,91288071,83597610,56,20
91289299,83597794,C,20,20370,2/5/2016 0:00,,6,,,83597794,94234891,15,M,91289299,83597794,56,20
91289444,83597920,C,20,20354,2/25/2016 0:00,12,6,,,83597920,94237052,,U,91289444,83597920,56,20
91289941,83598340,C,20,20356,1/11/2016 0:00,10,6,,,83598340,94237569,30,M,91289941,83598340,56,20
91291855,83599786,C,20,20356,2/2/2016 0:00,9,6,,,83599786,94238567,39,F,91291855,83599786,56,20
91291677,83600574,C,20,20363,1/11/2016 0:00,18,6,,,83600574,94238392,38,M,91291677,83600574,56,20
91293682,83601436,C,20,20395,1/1/2016 0:00,0,6,,,83601436,94240403,26,M,91293682,83601436,56,20
91295770,83602413,C,20,20402,2/4/2016 0:00,17,6,,,83602413,94242573,47,M,91295770,83602413,56,20
91296875,83604494,C,20,20414,2/19/2016 0:00,,6,,,83604494,94244537,,,91296875,83604494,56,20
91299468,83605448,C,20,20417,2/7/2016 0:00,19,6,,,83605448,94246138,24,M,91299468,83605448,56,20
91298670,83606072,C,25,20417,2/5/2016 0:00,14,6,,,83606072,94245552,,,91298670,83606072,56,25
91298984,83606344,C,21,20417,2/20/2016 0:00,20,6,,,83606344,94245882,16,M,91298984,83606344,56,21
91300356,83607658,C,20,20408,2/4/2016 0:00,0,6,,,83607658,94247266,33,F,91300356,83607658,56,20
91299954,83607806,C,20,20420,1/3/2016 0:00,12,2,2/16/2016 0:00,,83607806,94247439,30,M,91299954,83607806,56,20
